Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-07-30,spotify,mechanical,6194400,"33,036.80","3,196.31","28,081.28",USD
2024-07-30,spotify,performance,4129600,"2,477.76","2,130.87","2,106.10",USD
2024-07-30,apple_music,mechanical,2853600,"33,292.00","3,150.37","28,298.20",USD
2024-07-30,apple_music,performance,1902400,"1,712.16","2,100.25","1,455.34",USD
2024-07-30,youtube,mechanical,1531200,"3,828.00",378.97,"3,253.80",USD
2024-07-30,youtube,performance,1020800,382.80,252.65,325.38,USD
2024-07-30,tiktok,mechanical,4315199,"5,753.60",576.08,"4,890.56",USD
2024-07-30,tiktok,performance,2876799,647.28,384.05,550.19,USD
2024-07-30,amazon_music,mechanical,974400,"7,308.00",684.03,"6,211.80",USD
2024-07-30,amazon_music,performance,649600,292.32,456.02,248.47,USD
2024-07-30,deezer,mechanical,334080,"2,227.20",206.46,"1,893.12",USD
2024-07-30,deezer,performance,222720,66.82,137.64,56.79,USD
