Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-07-30,spotify,mechanical,2853600,"15,219.20","1,472.46","12,936.32",USD
2024-07-30,spotify,performance,1902400,"1,141.44",981.64,970.22,USD
2024-07-30,apple_music,mechanical,1322400,"15,428.00","1,459.93","13,113.80",USD
2024-07-30,apple_music,performance,881600,793.44,973.29,674.42,USD
2024-07-30,youtube,mechanical,765600,"1,914.00",189.49,"1,626.90",USD
2024-07-30,youtube,performance,510400,191.40,126.32,162.69,USD
2024-07-30,tiktok,mechanical,1948800,"2,598.40",260.16,"2,208.64",USD
2024-07-30,tiktok,performance,1299200,292.32,173.44,248.47,USD
2024-07-30,amazon_music,mechanical,431520,"3,236.40",302.93,"2,750.94",USD
2024-07-30,amazon_music,performance,287680,129.46,201.95,110.04,USD
2024-07-30,deezer,mechanical,174000,"1,160.00",107.53,986.00,USD
2024-07-30,deezer,performance,116000,34.80,71.69,29.58,USD
