Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-10-30,spotify,mechanical,9300000,"49,600.00","4,798.80","42,160.00",USD
2024-10-30,spotify,performance,6200000,"3,720.00","3,199.20","3,162.00",USD
2024-10-30,apple_music,mechanical,3868800,"45,136.00","4,271.16","38,365.60",USD
2024-10-30,apple_music,performance,2579200,"2,321.28","2,847.44","1,973.09",USD
2024-10-30,youtube,mechanical,2306400,"5,766.00",570.83,"4,901.10",USD
2024-10-30,youtube,performance,1537600,576.60,380.56,490.11,USD
2024-10-30,tiktok,mechanical,6324000,"8,432.00",844.25,"7,167.20",USD
2024-10-30,tiktok,performance,4216000,948.60,562.84,806.31,USD
2024-10-30,amazon_music,mechanical,1339200,"10,044.00",940.12,"8,537.40",USD
2024-10-30,amazon_music,performance,892800,401.76,626.75,341.50,USD
2024-10-30,deezer,mechanical,461280,"3,075.20",285.07,"2,613.92",USD
2024-10-30,deezer,performance,307520,92.26,190.05,78.42,USD
