Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-10-30,spotify,mechanical,4984800,"26,585.60","2,572.16","22,597.76",USD
2024-10-30,spotify,performance,3323200,"1,993.92","1,714.77","1,694.83",USD
2024-10-30,apple_music,mechanical,2380800,"27,776.00","2,628.40","23,609.60",USD
2024-10-30,apple_music,performance,1587200,"1,428.48","1,752.27","1,214.21",USD
2024-10-30,youtube,mechanical,1339200,"3,348.00",331.45,"2,845.80",USD
2024-10-30,youtube,performance,892800,334.80,220.97,284.58,USD
2024-10-30,tiktok,mechanical,3348000,"4,464.00",446.96,"3,794.40",USD
2024-10-30,tiktok,performance,2232000,502.20,297.97,426.87,USD
2024-10-30,amazon_music,mechanical,706800,"5,301.00",496.17,"4,505.85",USD
2024-10-30,amazon_music,performance,471200,212.04,330.78,180.23,USD
2024-10-30,deezer,mechanical,282720,"1,884.80",174.72,"1,602.08",USD
2024-10-30,deezer,performance,188480,56.54,116.48,48.06,USD
